frame_index,pred_x,pred_y,label_x,label_y,distance_px
0,806.0,593.0,876.0,571.0,73.37574531137656
8,1615.0,210.0,690.0,516.0,974.3002617263325
47,,,,,inf
48,,,,,inf
49,,,,,inf
50,,,,,inf
158,1048.0,330.0,1020.0,339.0,29.410882339705484
159,1081.0,318.0,1034.0,331.0,48.76474136094644
160,1114.0,318.0,1034.0,328.0,80.62257748298549
161,1147.0,332.0,1060.0,318.0,88.11923740024082
162,1180.0,353.0,1090.0,304.0,102.47438704378767
163,1214.0,392.0,1117.0,297.0,135.77186748365804
164,1250.0,440.0,1133.0,283.0,195.80091930325557
165,1264.0,442.0,1158.0,280.0,193.59752064528098
166,1253.0,382.0,1190.0,280.0,119.8874472161285
167,1241.0,318.0,1198.0,283.0,55.44366510251645
196,1358.0,446.0,1552.0,458.0,194.3707796969493
233,,,,,inf
240,1343.0,451.0,1370.0,446.0,27.459060435491963
241,1394.0,443.0,1355.0,460.0,42.5440947723653
242,1384.0,457.0,1341.0,474.0,46.238512086787566
243,1363.0,460.0,1337.0,460.0,26.0
244,1350.0,453.0,1330.0,442.0,22.825424421026653
291,842.0,382.0,933.0,408.0,94.64142856064674
294,,,,,inf
295,,,,,inf
296,,,,,inf
297,,,,,inf
298,,,,,inf
299,,,,,inf
300,,,,,inf
301,,,,,inf
302,,,,,inf
303,,,,,inf
304,,,,,inf
305,,,,,inf
306,,,,,inf
307,910.0,453.0,964.0,364.0,104.10091258005379
314,970.0,391.0,978.0,426.0,35.90264614203248
315,960.0,396.0,964.0,427.0,31.25699921617557
316,952.0,397.0,953.0,416.0,19.026297590440446
333,945.0,306.0,866.0,343.0,87.23531395025755
334,1009.0,297.0,878.0,346.0,139.86421987055874
335,,,,,inf
336,,,,,inf
337,,,,,inf
338,,,,,inf
339,1310.0,436.0,854.0,284.0,480.66620434559366
340,1324.0,440.0,863.0,275.0,489.6386422659061
341,1314.0,436.0,864.0,242.0,490.0367333170035
342,1164.0,360.0,862.0,248.0,322.0993635510632
343,1014.0,291.0,866.0,227.0,161.24515496597098
365,1231.0,662.0,794.0,126.0,691.5670611010909
386,1092.0,548.0,654.0,356.0,478.23425222374027
403,916.0,513.0,750.0,327.0,249.30302846134862
404,911.0,502.0,760.0,332.0,227.37853900489378
405,852.0,437.0,766.0,340.0,129.634100452003
423,1060.0,563.0,575.0,450.0,497.9899597381457
425,801.0,530.0,551.0,484.0,254.19677417308034
426,792.0,524.0,535.0,506.0,257.62957904712727
427,650.0,532.0,530.0,521.0,120.50311199301038
450,541,395,535,657,262.0686932847951
458,480.0,696.0,463.0,618.0,79.83107164506812
459,477.0,750.0,463.0,608.0,142.68847185389575
460,465.0,640.0,476.0,734.0,94.64142856064674
461,458.0,661.0,466.0,696.0,35.90264614203248
485,516.0,640.0,512.0,599.0,41.19465984809196
486,503.0,608.0,508.0,645.0,37.33630940518894
566,628.0,595.0,634.0,624.0,29.614185789921695
567,661.0,582.0,670.0,632.0,50.80354318352215
568,702.0,576.0,702.0,644.0,68.0
569,740.0,594.0,733.0,654.0,60.40695324215582
570,774.0,621.0,764.0,662.0,42.20189569201838
571,811.0,659.0,793.0,680.0,27.65863337187866
664,718.0,627.0,777.0,610.0,61.40032573203501
665,662.0,638.0,690.0,624.0,31.304951684997057
666,662.0,632.0,698.0,624.0,36.87817782917155
714,932.0,560.0,780.0,508.0,160.64868502418562
715,786.0,498.0,1092.0,595.0,321.00623046912966
716,1250.0,627.0,790.0,482.0,482.3121395942673
717,1411.0,662.0,798.0,464.0,644.1839799311995
718,810.0,450.0,1404.0,657.0,629.034975180236
721,1324.0,686.0,809.0,384.0,597.0167501837783
722,1194.0,574.0,812.0,374.0,431.18905366439907
723,1067.0,474.0,810.0,358.0,281.966310044303
724,813.0,344.0,935.0,396.0,132.61975720080324
767,,,,,inf
796,1288.0,540.0,1318.0,348.0,194.32961688841976
797,1300.0,356.0,1236.0,727.0,376.4797471312368
798,1228.0,715.0,1284.0,355.0,364.3295211755424
799,1243.0,534.0,1270.0,354.0,182.01373574541017
820,514.0,344.0,972.0,676.0,565.6748182480815
830,914.0,592.0,911.0,560.0,32.14031735997639
831,908.0,580.0,914.0,553.0,27.65863337187866
832,910.0,568.0,908.0,546.0,22.090722034374522
834,,,,,inf
838,858.0,535.0,846.0,570.0,37.0
839,848.0,530.0,842.0,564.0,34.52535300326414
840,832.0,530.0,827.0,559.0,29.427877939124322
841,816.0,534.0,818.0,556.0,22.090722034374522
842,803.0,550.0,797.0,563.0,14.317821063276353
843,787.0,566.0,790.0,564.0,3.605551275463989
851,703.0,602.0,703.0,642.0,40.0
852,700.0,642.0,685.0,624.0,23.430749027719962
853,676.0,666.0,672.0,645.0,21.37755832643195
901,634,727,672,627,106.97663296253066
902,652,766,723,551,226.4199637841151
903,655,799,774,469,350.8005131125096
904,822,395,660,834,467.93696156640584
905,663,835,821,396,466.56725131539184
906,822,401,663,818,446.28466251933867
907,663,807,820,403,433.4339626748232
985,1578,464,1484,359,140.92906016858268
986,1604,533,1486,362,207.76188293332345
987,1630,601,1473,374,276.0036231646244
988,1647,687,1482,370,357.37095573087635
989,1671,728,1484,367,406.55872884492345
